"location","date","new_cases","new_deaths","total_cases","total_deaths","weekly_cases","weekly_deaths","biweekly_cases","biweekly_deaths","Country.Region","continent","population_year","population"
"Tanzania","2022-09-27",0,0,39341,845,88,0,173,0,"Tanzania","Africa",2021,63588334
"Togo","2022-09-27",0,0,38987,284,183,0,330,0,"Togo","Africa",2021,8644829
"Isle of Man","2022-09-27",0,0,38008,116,0,0,0,0,"Isle of Man","Europe",2021,84263
"Guinea","2022-09-27",0,0,37652,449,0,0,0,0,"Guinea","Africa",2021,13531906
"Bahamas","2022-09-27",0,0,37267,833,54,0,111,10,"Bahamas","North America",2021,407906
"Faeroe Islands","2022-09-27",0,0,34658,28,0,0,0,0,"Faroe Islands","Europe",2021,52888
"Lesotho","2022-09-27",0,0,34490,706,0,0,203,2,"Lesotho","Africa",2021,2281454
"Haiti","2022-09-27",0,0,33733,857,12,0,31,0,"Haiti","North America",2021,11447569
"Mali","2022-09-27",15,0,32622,741,74,1,292,2,"Mali","Africa",2021,21904983
"Cayman Islands","2022-09-27",0,0,30545,31,0,0,165,2,"Cayman Islands","North America",2021,68136
"Saint Lucia","2022-09-27",0,0,29408,393,0,0,0,2,"Saint Lucia","North America",2021,179652
"Benin","2022-09-27",0,0,27638,163,0,0,148,0,"Benin","Africa",2021,12996895
"Somalia","2022-09-27",7,0,27214,1361,7,0,17,0,"Somalia","Africa",2021,17065581
"Congo","2022-09-27",0,0,24837,386,0,0,0,0,"Congo (Brazzaville)","Africa",2021,5835806
"Timor","2022-09-27",0,0,23253,138,8,0,26,0,"Timor-Leste","Asia",2021,1320942
"Burkina Faso","2022-09-27",503,0,21631,387,503,0,503,0,"Burkina Faso","Africa",2021,22100683
"Solomon Islands","2022-09-27",0,0,21544,153,0,0,0,0,"Solomon Islands","Oceania",2021,707851
"San Marino","2022-09-27",58,0,20729,118,136,0,196,0,"San Marino","Europe",2021,33746
"Gibraltar","2022-09-27",0,0,20092,108,23,0,23,0,"Gibraltar","Europe",2021,32670
"Liechtenstein","2022-09-27",69,0,19612,86,149,0,263,0,"Liechtenstein","Europe",2021,39039
"Grenada","2022-09-27",0,0,19536,237,20,1,63,1,"Grenada","North America",2021,124610
"Bermuda","2022-09-27",0,0,18122,148,45,0,103,0,"Bermuda","North America",2021,64185
"South Sudan","2022-09-27",0,0,17823,138,0,0,0,0,"South Sudan","Africa",2021,10748272
"Tajikistan","2022-09-27",0,0,17786,125,0,0,0,0,"Tajikistan","Asia",2021,9750064
"Equatorial Guinea","2022-09-27",0,0,17010,183,16,0,40,0,"Equatorial Guinea","Africa",2021,1634466
"Tonga","2022-09-27",0,0,16182,12,0,0,0,0,"Tonga","Oceania",2021,106017
"Samoa","2022-09-27",0,0,15925,29,36,0,36,0,"Samoa","Oceania",2021,218764
"Dominica","2022-09-27",895,6,15747,74,895,6,895,6,"Dominica","North America",2021,72412
"Djibouti","2022-09-27",0,0,15690,189,0,0,0,0,"Djibouti","Africa",2021,1105557
"Marshall Islands","2022-09-27",0,0,15275,17,51,0,98,0,"Marshall Islands","Oceania",2021,42050
"Nicaragua","2022-09-27",0,0,15045,245,24,0,55,1,"Nicaragua","North America",2021,6850540
"Central African Republic","2022-09-27",0,0,14913,113,9,0,30,0,"Central African Republic","Africa",2021,5457154
"Monaco","2022-09-27",14,0,14586,63,65,0,135,0,"Monaco","Europe",2021,36686
"Gambia","2022-09-27",0,0,12508,372,0,0,0,0,"Gambia","Africa",2021,2639916
"Greenland","2022-09-27",0,0,11971,21,0,0,0,0,"Greenland","North America",2021,56243
"Vanuatu","2022-09-27",0,0,11950,14,0,0,29,0,"Vanuatu","Oceania",2021,319136
"Yemen","2022-09-27",0,0,11935,2157,3,2,3,2,"Yemen","Asia",2021,32981641
"Bonaire Sint Eustatius and Saba","2022-09-27",0,0,11323,38,17,0,44,0,"Bonaire, Sint Eustatius and Saba","North America",2021,26706
"Eritrea","2022-09-27",0,0,10169,103,5,0,6,0,"Eritrea","Africa",2021,3620312
"Micronesia (country)","2022-09-27",0,0,10083,31,47,0,620,2,"Micronesia","Oceania",2021,113131
"Saint Vincent and the Grenadines","2022-09-27",0,0,9448,116,0,0,2,0,"Saint Vincent and the Grenadines","North America",2021,104332
"Niger","2022-09-27",0,0,9395,313,0,0,10,1,"Niger","Africa",2021,25252722
"Antigua and Barbuda","2022-09-27",0,0,9089,146,81,1,115,1,"Antigua and Barbuda","North America",2021,93220
"Guinea-Bissau","2022-09-27",0,0,8796,175,0,0,0,0,"Guinea-Bissau","Africa",2021,2060721
"Comoros","2022-09-27",0,0,8471,161,0,0,16,0,"Comoros","Africa",2021,821626
"Liberia","2022-09-27",0,0,7961,294,0,0,32,0,"Liberia","Africa",2021,5193416
"Sierra Leone","2022-09-27",0,0,7751,126,0,0,2,0,"Sierra Leone","Africa",2021,8420641
"Chad","2022-09-27",0,0,7581,193,8,0,21,0,"Chad","Africa",2021,17179740
"British Virgin Islands","2022-09-27",0,0,7305,64,0,0,0,0,"British Virgin Islands","North America",2021,31122
"Saint Kitts and Nevis","2022-09-27",0,0,6543,46,2,0,11,0,"Saint Kitts and Nevis","North America",2021,47606
"Cook Islands","2022-09-27",0,0,6389,1,0,0,1,0,"Cook Islands","Oceania",2021,17003
"Turks and Caicos Islands","2022-09-27",0,0,6380,36,0,0,8,0,"Turks and Caicos Islands","North America",2021,45114
"Sao Tome and Principe","2022-09-27",0,0,6230,77,21,0,37,1,"Sao Tome and Principe","Africa",2021,223107
"Palau","2022-09-27",0,0,5460,6,15,0,30,0,"Palau","Oceania",2021,18024
